,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Team
21,21,Armando Alvarez,29,UT,-0.4,16,39,37,7,9,1,0,0,2,1,0,2,8,.243,.282,.270,.552,63,.252,57,10,1,0,0,0,0,/53H74,,OAK
22,22,Aledmys DÃ­az,33,UT,-0.5,12,30,29,2,3,0,0,0,1,0,0,1,7,.103,.133,.103,.237,-29,.112,-39,3,0,0,0,0,0,/63457H,,OAK
23,23,Tristan Gray*,28,CI,0.0,8,24,21,0,3,1,0,0,0,0,0,3,13,.143,.250,.190,.440,31,.212,33,4,0,0,0,0,0,/35H,,OAK
24,,Team Totals,,,13.1,162,6034,5432,643,1267,240,19,196,619,98,26,493,1502,.233,.301,.393,.694,101,.308,101,2133,105,53,19,37,11,,,OAK
0,1,Logan O'Hoppe,24,C,2.7,136,522,479,64,117,17,1,20,56,2,3,33,155,.244,.303,.409,.712,100,.315,102,196,7,8,1,1,0,*2/HD,,LAA
1,2,Nolan Schanuel*,22,1B,1.3,147,607,519,62,130,19,0,13,54,10,1,68,103,.250,.343,.362,.706,101,.321,103,188,14,9,3,7,0,*3/HD,,LAA
2,3,Brandon Drury,31,2B,-2.0,97,360,325,28,55,7,0,4,15,1,0,27,81,.169,.242,.228,.469,35,.228,38,74,13,5,0,3,0,45D3/H,,LAA
3,4,Zach Neto,23,SS,5.1,155,602,542,70,135,34,1,23,77,30,10,39,140,.249,.318,.443,.761,113,.334,112,240,14,16,4,1,1,*6/H,,LAA
4,5,Anthony Rendon,34,3B,0.6,57,238,206,21,45,10,0,0,14,6,1,23,35,.218,.307,.267,.574,66,.283,75,55,4,5,0,4,0,5/D,,LAA
5,6,Taylor Ward,30,LF,2.3,156,663,585,73,144,26,2,25,75,6,4,63,163,.246,.323,.426,.748,111,.329,111,249,11,7,0,8,0,*7D,,LAA
6,7,Mickey Moniak*,26,CF,-0.1,124,418,392,48,86,17,2,14,49,8,4,21,114,.219,.266,.380,.646,81,.283,78,149,3,4,0,1,0,*89H/D7,,LAA
7,8,Jo Adell,25,RF,0.9,130,451,405,54,84,15,2,20,62,15,10,35,126,.207,.280,.402,.682,91,.297,90,163,9,7,0,3,1,*9H/D8,,LAA
8,9,Willie Calhoun*,29,DH,-0.2,68,254,229,26,56,16,0,5,20,0,1,23,31,.245,.315,.380,.695,97,.301,92,87,5,1,0,1,1,D/H37,,LAA
